Source,Latitude,Longitude
Afghanistan,33.7680065,66.2385139
Albania,11.2448034,-72.51609707
Algeria,28.0000272,2.9999825
Andorra,42.5407167,1.5732033
Angola,-11.8775768,17.5691241
Antigua and Barbuda,17.2234721,-61.9554608
Azerbaijan,40.3936294,47.7872508
Argentina,-34.9964963,-64.9672817
Australia,-24.7761086,134.755
American Samoa,-14.271,-170.1332
Austria,47.59397,14.12456
Bahamas,24.7736546,-78.0000547
Bahrain,26.1551249,50.5344606
Bangladesh,-0.2864982,36.0514231
Armenia,4.536307,-75.6723751
Barbados,13.1500331,-59.5250305
Belgium,50.6402809,4.6667145
Bermuda,32.2937417,-64.7815286
Bolivia,-17.0568696,-64.9912286
Bosnia Herzegovina,44.3053476,17.5961467
Botswana,-23.1681782,24.5928742
Brazil,-10.3333333,-53.2
Belize,17.1204943,-88.6859028
British Indian Ocean Territory,-5.34970935,71.86064227
Brunei Darussalam,4.4137155,114.5653908
Bulgaria,42.6073975,25.4856617
Myanmar,17.1750495,95.9999652
Burundi,-3.426449,29.9324519
Belarus,53.4250605,27.6971358
Cambodia,12.5433216,104.8144914
Cameroon,4.6125522,13.1535811
Canada,61.0666922,-107.991707
Cabo Verde,16.0000552,-24.0083947
Cayman Islands,19.70318225,-79.91746272
Sri Lanka,7.5554942,80.7137847
Chile,-31.7613365,-71.3187697
China,35.000074,104.999927
Colombia,4.099917,-72.9088133
"Congo, Republic",1.40397195,103.7909392
"Congo, Democratic Republic",-2.9814344,23.8222636
Costa Rica,10.2735633,-84.0739102
Croatia,45.3658443,15.6575209
Cuba,23.0131338,-80.8328748
Cyprus,34.9174159,32.88990265
Czech Republic,49.7439047,15.3381061
Benin,9.5293472,2.2584408
Denmark,55.670249,10.3333283
Dominican Republic,19.0974031,-70.3028026
Ecuador,-1.3397668,-79.3666965
El Salvador,13.8000382,-88.9140683
Equatorial Guinea,1.613172,10.5170357
Ethiopia,10.2116702,38.6521203
Eritrea,15.9500319,37.9999668
Estonia,58.7523778,25.3319078
Faeroe Islands,62.0448724,-7.0322972
Falkland Islands (Malvinas),-51.9492937,-59.5383657
Fiji,-18.1239696,179.0122737
Finland,63.2467777,25.9209164
France,46.603354,1.8883335
Gabon,-0.8999695,11.6899699
Georgia,32.3293809,-83.1137366
Gambia,13.470062,-15.4900464
State of Palestine,31.76296362,34.93849538
Germany,51.1638175,10.4478313
Ghana,8.0300284,-1.0800271
Gibraltar,36.1285933,-5.3474761
Greece,43.2097838,-77.6930602
Grenada,12.1360374,-61.6904045
Guam,13.45011745,144.7577088
Guatemala,15.5855545,-90.345759
Guinea,10.7226226,-10.7083587
Guyana,4.8417097,-58.6416891
Haiti,19.1399952,-72.3570972
Honduras,15.2572432,-86.0755145
"China, Hong Kong SAR",22.350627,114.1849161
Hungary,47.1817585,19.5060937
Iceland,64.9841821,-18.1059013
Indonesia,-2.4833826,117.8902853
Iran,32.6475314,54.5643516
Iraq,33.0955793,44.1749775
Ireland,52.865196,-7.9794599
Israel,30.8124247,34.8594762
Italy,42.6384261,12.674297
Cote d'Ivoire,7.9897371,-5.5679458
Jamaica,18.1850507,-77.3947693
Japan,36.5748441,139.2394179
Kazakhstan,48.1012954,66.7780818
Jordan,44.6663146,-93.6261918
Kenya,1.4419683,38.4313975
"Korea, Republic",55.7530238,49.2438984
Kuwait,29.3796532,47.9734174
Kyrgyzstan,42.4858224,74.714583
Lebanon,40.375713,-76.4626118
Lesotho,-29.6039267,28.3350193
Latvia,56.8406494,24.7537645
Liberia,5.7499721,-9.3658524
Libya,26.8234472,18.1236723
Lithuania,55.3500003,23.7499997
Luxembourg,49.6112768,6.129799
"China, Macao SAR",22.1987,113.5439
Madagascar,-18.9249604,46.4416422
Malawi,-13.2687204,33.9301963
Malaysia,4.5693754,102.2656823
Maldives,3.7203503,73.2244152
Mali,16.3700359,-2.2900239
Malta,35.8885993,14.4476911
Mauritania,20.2540382,-9.2399263
Mauritius,-20.2759451,57.5703566
Mexico,19.4326296,-99.1331785
"Other Asia, nes",82.8776,74.6154
Mongolia,43.9382593,-79.2235563
Moldova,47.2879608,28.5670941
Montenegro,-29.6826112,-51.4687455
Morocco,28.3347722,-10.37133791
Mozambique,-19.302233,34.9144977
Oman,21.0000287,57.0036901
Namibia,-23.2335499,17.3231107
Nepal,28.3780464,83.9999901
Netherlands,52.2434979,5.6343227
Curacao,12.1176488,-68.9309263
Aruba,12.5013629,-69.9618475
Sint Maarten (Dutch part),18.0425,-63.0548
New Caledonia,-20.63784275,161.2117626
New Zealand,-41.5000831,172.8344077
Nicaragua,12.6090157,-85.2936911
Niger,17.7356214,9.3238432
Nigeria,9.6000359,7.9999721
"Other Europe, nes",51.1657,10.4515
Niue,-19.0536414,-169.861341
"Other Africa, nes",1.6508,23.2125
Norway,64.5731537,11.52803644
Marshall Islands,8.230817,167.7953224
Pakistan,30.3308401,71.247499
Panama,8.559559,-81.1308434
Papua New Guinea,-5.6816069,144.2489081
Paraguay,-23.3165935,-58.1693445
Peru,-6.8699697,-75.0458515
Philippines,12.7503486,122.7312101
Poland,52.215933,19.134422
Portugal,39.6621648,-8.1353519
Qatar,25.3336984,51.2295295
Romania,45.9852129,24.6859225
Russian Federation,64.6863136,97.7453061
Rwanda,-1.9646631,30.0644358
Saint Lucia,13.8250489,-60.975036
Saint Vincent and the Grenadines,12.90447,-61.2765569
San Marino,43.9458623,12.458306
Saudi Arabia,25.6242618,42.3528328
Senegal,14.4750607,-14.4529612
Serbia,44.02432285,21.07657433
Sierra Leone,8.6400349,-11.8400269
India,22.3511148,78.6677428
Singapore,1.357107,103.8194992
Slovakia,48.7411522,19.4528646
Vietnam,15.9266657,107.9650855
Slovenia,46.1199444,14.8153333
Somalia,8.3676771,49.083416
South Africa,-28.8166236,24.991639
Zimbabwe,-18.4554963,29.7468414
Spain,39.3260685,-4.8379791
South Sudan,7.8699431,29.6667897
Sudan,10.9,6.5
Suriname,4.1413025,-56.0771187
Eswatini,-26.5624806,31.3991317
Sweden,59.6749712,14.5208584
Switzerland,46.7985624,8.2319736
Syria,34.8153536,38.42307447
Tajikistan,38.6281733,70.8156541
Thailand,7.4931858,124.724704
Togo,8.7800265,1.0199765
Tokelau,-9.1676396,-171.819687
Trinidad and Tobago,10.7466905,-61.0840075
United Arab Emirates,24.0002488,53.9994829
Tunisia,36.8002068,10.1857757
Turkey,38.9597594,34.9249653
Turkmenistan,39.3763807,59.3924609
Turks and Caicos Islands,21.721746,-71.5527809
Uganda,1.5333554,32.2166578
Ukraine,49.4871968,31.2718321
North Macedonia,41.6171214,21.7168387
Egypt,26.2540493,29.2675469
United Kingdom,54.7023545,-3.2765753
Tanzania,-6.5247123,35.7878438
Free Zones,35.7718375,51.41582895
United States,39.7837304,-100.445882
Burkina Faso,12.0753083,-1.6880314
Uruguay,-32.8755548,-56.0201525
Uzbekistan,41.32373,63.9528098
Samoa,-13.7693895,-172.12005
Yemen,16.3471243,47.8915271
Zambia,-14.5189121,27.5589884
Seychelles,-4.6796,55.492
Sao Tome and Principe,0.1864,6.6131
Montserrat,16.7425,-62.1874
United States Minor Outlying Islands,19.2823,166.647
Venezuela,6.4238,-66.5897
Pitcairn,-24.3768,-128.3242
Palau,7.515,134.5825
Djibouti,11.8251,42.4903
French Polynesia,-17.6797,-149.4038
Bunkers,47.4556,-91.2096
Christmas Islands,-10.4475,105.6904
British Virgin Islands,18.4207,-64.64
Holy See,41.9029,12.4534
Lao PDR,19.8563,102.4955
Central African Republic,6.1111,20.9394
Solomon Islands,-9.6457,160.1562
Saint Kitts and Nevis,17.3578,-62.783
Chad,15.4542,18.7322
Vanuatu,-15.3767,166.9592
Dominica,15.415,-61.371
Former Sudan,15,30
"Korea, Democratic Peopleâ€™s Republic",39.2,125
Kiribati,1.4421,172.983
Bhutan,27.5142,90.4336
Greenland,71.7069,-42.6043
Anguilla,18.2206,-63.0686
Nauru,-0.528,166.935
Norfolk Islands,-29.0408,167.9547
Northern Mariana Islands,15.0979,145.6739
Micronesia,7.4256,150.5508
Timor-Leste,-8.8742,125.7275
Tonga,-21.709,-175.1982
